stock_code,historical_name,corp_code,dart_corp_name,mapping_method,mapped
064960,,00398792,SNT모티브,stock_code,True
065350,,00136226,신성델타테크,stock_code,True
065620,,00201788,제낙스,stock_code,True
065660,,00631837,안트로젠,stock_code,True
066570,,00401731,LG전자,stock_code,True
066970,,00398701,엘앤에프,stock_code,True
067160,,00399694,SOOP,stock_code,True
067310,,00445054,하나마이크론,stock_code,True
067630,,00365590,HLB생명과학,stock_code,True
068270,,00413046,셀트리온,stock_code,True
068760,,00541349,셀트리온제약,stock_code,True
069080,,00405320,웹젠,stock_code,True
069260,,00426086,티케이지휴켐스,stock_code,True
069620,,00427483,대웅제약,stock_code,True
069960,,00428251,현대백화점,stock_code,True
070960,,00365989,모나용평,stock_code,True
071050,,00432102,한국금융지주,stock_code,True
071320,,00159698,지역난방공사,stock_code,True
071840,,00158307,롯데하이마트,stock_code,True
071970,,00406046,HD현대마린엔진,stock_code,True
073070,,00235147,에이팸,stock_code,True
073240,,00481454,금호타이어,stock_code,True
074600,,00468374,원익QnC,stock_code,True
075580,,00415628,세진중공업,stock_code,True
077970,,00480455,STX엔진,stock_code,True
078070,,00411385,유비쿼스홀딩스,stock_code,True
078130,,00104573,국일제지,stock_code,True
078160,,00453929,메디포스트,stock_code,True
078340,,00476498,컴투스,stock_code,True
078600,,00177816,대주전자재료,stock_code,True
078930,,00500254,GS,stock_code,True
079160,,00303873,CJ CGV,stock_code,True
079440,,00176792,오렌지라이프생명보험,stock_code,True
079550,,00503668,LIG디펜스앤에어로스페이스,stock_code,True
080160,,00456218,모두투어,stock_code,True
080220,,00447487,제주반도체,stock_code,True
081000,,00508274,일진다이아,stock_code,True
081660,,00195229,미스토홀딩스,stock_code,True
082270,,00492894,젬백스,stock_code,True
082640,,00117267,동양생명보험,stock_code,True
082740,,00361008,한화엔진,stock_code,True
082920,,00154718,비츠로셀,stock_code,True
083650,,00409788,비에이치아이,stock_code,True
083790,,00407814,CG인바이츠,stock_code,True
084370,,00531014,유진테크,stock_code,True
084850,,00579980,아이티엠반도체,stock_code,True
084990,,00359395,헬릭스미스,stock_code,True
085620,,00112332,미래에셋생명,stock_code,True
085660,,00525679,차바이오텍,stock_code,True
086280,,00360595,현대글로비스,stock_code,True
086450,,00114808,동국제약,stock_code,True
086520,,00536541,에코프로,stock_code,True
086790,,00547583,하나금융지주,stock_code,True
086900,,00580199,메디톡스,stock_code,True
087010,,00415868,펩트론,stock_code,True
088350,,00113058,한화생명,stock_code,True
088800,,00556907,에이스테크,stock_code,True
089030,,00535676,테크윙,stock_code,True
089590,,00555874,제주항공,stock_code,True
089600,,00486097,KT나스미디어,stock_code,True
089860,,00545716,롯데렌탈,stock_code,True
089980,,00181299,상아프론테크,stock_code,True
090430,,00583424,아모레퍼시픽,stock_code,True
090460,,00447609,비에이치,stock_code,True
090710,,00540429,휴림로봇,stock_code,True
091700,,00490151,파트론,stock_code,True
091990,,00554024,셀트리온헬스케어,stock_code,True
092040,,00545734,아미코젠,stock_code,True
092190,,00488402,서울바이오시스,stock_code,True
093050,,00593032,LF,stock_code,True
093370,,00595191,후성,stock_code,True
095340,,00572905,ISC,stock_code,True
